CONVERGENCE ITERATIONS

||===============================================================================================================================================================================================||
|| LOAD TIME            || REL. FORCE RESIDUAL    || ABS. FORCE RESIDUAL    || REL. VARIABLE RESIDUAL || ABS. VARIABLE RESIDUAL || ABS. MAX DOF           || LINE SEARCH || RATIO                ||
|| 2.0000000000000e-01  || 1.4087527768841e-02    || 1.0897056579636e+06    || 2.1702039850722e-02    || 8.3049931164614e-01    || 4.2230159099969e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5176240232494e-02    || 1.1739203016545e+06    || 2.1692794769452e-02    || 8.3033814154242e-01    || 4.2228945295170e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4074766703159e-02    || 1.0887185574798e+06    || 2.1693312000364e-02    || 8.3016405128014e-01    || 4.2213620007406e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5164125834805e-02    || 1.1729832225643e+06    || 2.1684658243458e-02    || 8.3002501105810e-01    || 4.2212561918766e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4063766659307e-02    || 1.0878676764580e+06    || 2.1685782863053e-02    || 8.2987484064671e-01    || 4.2199350718186e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5153680370821e-02    || 1.1721752396882e+06    || 2.1677639333976e-02    || 8.2975489583908e-01    || 4.2198429824306e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4054283890263e-02    || 1.0871341604537e+06    || 2.1679287989199e-02    || 8.2962536124038e-01    || 4.2187040289911e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5144673569931e-02    || 1.1714785410161e+06    || 2.1671584684617e-02    || 8.2952189233249e-01    || 4.2186239866969e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4046108568103e-02    || 1.0865017787498e+06    || 2.1673685438236e-02    || 8.2941015966427e-01    || 4.2176420223768e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5136907018218e-02    || 1.1708777787331e+06    || 2.1666361938665e-02    || 8.2932090566965e-01    || 4.2175725293459e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4039060019178e-02    || 1.0859565557859e+06    || 2.1668852712372e-02    || 8.2922452971297e-01    || 4.2167258713328e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5130209731212e-02    || 1.1703597267609e+06    || 2.1661856875874e-02    || 8.2914753933054e-01    || 4.2166655946820e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4032982639426e-02    || 1.0854864551969e+06    || 2.1664684103721e-02    || 8.2906441037142e-01    || 4.2159355660502e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5124434346274e-02    || 1.1699129862294e+06    || 2.1657970935943e-02    || 8.2899799972953e-01    || 4.2158833257953e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4027742390231e-02    || 1.0850811087592e+06    || 2.1661088400415e-02    || 8.2892629762948e-01    || 4.2152538360102e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5119453847292e-02    || 1.1695277321231e+06    || 2.1654619077779e-02    || 8.2886901375204e-01    || 4.2152085919090e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4023223790349e-02    || 1.0847315837085e+06    || 2.1657986904005e-02    || 8.2880716827362e-01    || 4.2146657765563e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5115158746198e-02    || 1.1691954952651e+06    || 2.1651727929503e-02    || 8.2875775750227e-01    || 4.2146266147053e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4019327332195e-02    || 1.0844301828832e+06    || 2.1655311716515e-02    || 8.2870441405057e-01    || 4.2141585259393e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5111454657232e-02    || 1.1689089746796e+06    || 2.1649234190500e-02    || 8.2866179476581e-01    || 4.2141246457275e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4015967261484e-02    || 1.0841702729739e+06    || 2.1653004260982e-02    || 8.2861578481073e-01    || 4.2137209861499e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5108260208424e-02    || 1.1686618760405e+06    || 2.1647083251242e-02    || 8.2857902386489e-01    || 4.2136916878553e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4013069668166e-02    || 1.0839461368526e+06    || 2.1651014003815e-02    || 8.2853933941124e-01    || 4.2133435816554e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5105505243392e-02    || 1.1684487725753e+06    || 2.1645228001782e-02    || 8.2850763178261e-01    || 4.2133182549563e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4010570844427e-02    || 1.0837528465598e+06    || 2.1649297351786e-02    || 8.2847340333275e-01    || 4.2130180509846e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5103129272354e-02    || 1.1682649852476e+06    || 2.1643627802963e-02    || 8.2844605455540e-01    || 4.2129961644138e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4008415871874e-02    || 1.0835861540200e+06    || 2.1647816699911e-02    || 8.2841653209628e-01    || 4.2127372667349e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5101080138070e-02    || 1.1681064795637e+06    || 2.1642247598597e-02    || 8.2839294309514e-01    || 4.2127183581423e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4006557405464e-02    || 1.0834423969751e+06    || 2.1646539609582e-02    || 8.2836747968630e-01    || 4.2124950801178e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5099312866195e-02    || 1.1679697766451e+06    || 2.1641057149060e-02    || 8.2834713368678e-01    || 4.2124787481072e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4004954626595e-02    || 1.0833184180037e+06    || 2.1645438099375e-02    || 8.2832517130431e-01    || 4.2122861867823e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5097788674875e-02    || 1.1678518766181e+06    || 2.1640030370025e-02    || 8.2830762253492e-01    || 4.2122720830714e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4003572341532e-02    || 1.0832114947821e+06    || 2.1644488033012e-02    || 8.2828867985540e-01    || 4.2121060109665e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5096474121163e-02    || 1.1677501925866e+06    || 2.1639144761854e-02    || 8.2827354380065e-01    || 4.2120938336298e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4002380204927e-02    || 1.0831192800212e+06    || 2.1643668591312e-02    || 8.2825720566264e-01    || 4.2119506055286e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5095340365266e-02    || 1.1676624937202e+06    || 2.1638380917158e-02    || 8.2824415064803e-01    || 4.2119400929995e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4001352050720e-02    || 1.0830397497109e+06    || 2.1642961816453e-02    || 8.2823005895954e-01    || 4.2118165656347e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5094362536418e-02    || 1.1675868562027e+06    || 2.1637722096017e-02    || 8.2821879889523e-01    || 4.2118074914637e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4000465315875e-02    || 1.0829711585432e+06    || 2.1642352218961e-02    || 8.2820664479283e-01    || 4.2117009543264e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5093519186350e-02    || 1.1675216209566e+06    || 2.1637153859553e-02    || 8.2819693291178e-01    || 4.2116931225717e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.3999700543603e-02    || 1.0829120014870e+06    || 2.1641826438510e-02    || 8.2818644999225e-01    || 4.2116012382536e-01    || 1.0000000   || 2.0000000000000e-01  ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| CRITERIA             || 1.0000000000000e-04    || 1.0000000000000e-09    || 1.0000000000000e-04    || 1.0000000000000e-09    ||                        ||             ||                      ||
|| IS SATISFIED         ||                  NO    ||                  NO    ||                  NO    ||                  NO    ||                        ||             ||                      ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 2.0000000000000e-01  || Maximum number of iterations has been reached.                                                                                                                        ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 2.0000000000000e-01  || 1.0000000000000e+00    || 5.2245985980596e+05    || 0.0000000000000e+00    || 0.0000000000000e+00    || 0.0000000000000e+00    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.4522599111331e-03    || 7.5874750957243e+02    || 4.8802327894812e-01    || 1.8167746189826e+01    || 3.0000000000000e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 4.0156351288936e-05    || 2.0980081664737e+01    || 4.4021627712436e-04    || 1.6385752827556e-02    || 3.2190347550590e-03    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 3.8381154262100e-06    || 2.0052612474968e+00    || 2.3599874867804e-05    || 8.7844202397264e-04    || 3.2569486908925e-04    || 1.0000000   || 2.0000000000000e-01  ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| CRITERIA             || 1.0000000000000e-04    || 1.0000000000000e-09    || 1.0000000000000e-04    || 1.0000000000000e-09    ||                        ||             ||                      ||
|| IS SATISFIED         ||                 YES    ||                  NO    ||                 YES    ||                  NO    ||                        ||             ||                      ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 3.0000000000000e-01  || 1.0000000000000e+00    || 2.4347731443254e+06    || 3.2802118616499e-01    || 1.8163325339241e+01    || 3.0000000000000e-01    || 1.0000000   || 3.0000000000000e-01  ||
|| 3.0000000000000e-01  || 9.5195379496951e-04    || 2.3177915346304e+03    || 3.1471070804711e-03    || 1.7401139509512e-01    || 5.3439016222763e-02    || 1.0000000   || 3.0000000000000e-01  ||
|| 3.0000000000000e-01  || 1.3333478403985e-05    || 3.2463995138464e+01    || 1.1335282429068e-04    || 6.2676718568394e-03    || 1.8622649102254e-03    || 1.0000000   || 3.0000000000000e-01  ||
|| 3.0000000000000e-01  || 1.8777791029060e-06    || 4.5719661307309e+00    || 1.6527174462271e-05    || 9.1384256414616e-04    || 3.7204404398418e-04    || 1.0000000   || 3.0000000000000e-01  ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| CRITERIA             || 1.0000000000000e-04    || 1.0000000000000e-09    || 1.0000000000000e-04    || 1.0000000000000e-09    ||                        ||             ||                      ||
|| IS SATISFIED         ||                 YES    ||                  NO    ||                 YES    ||                  NO    ||                        ||             ||                      ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 4.0000000000000e-01  || 1.0000000000000e+00    || 4.1781671386371e+06    || 2.4652220316339e-01    || 1.8088005130845e+01    || 3.0000000000000e-01    || 1.0000000   || 4.0000000000000e-01  ||
|| 4.0000000000000e-01  || 1.8826927493265e-03    || 7.8662049773864e+03    || 3.8794827015476e-03    || 2.8415434152552e-01    || 9.3289755928610e-02    || 1.0000000   || 4.0000000000000e-01  ||
|| 4.0000000000000e-01  || 8.9859225787524e-05    || 3.7544686428880e+02    || 2.6039715895068e-04    || 1.9072383358938e-02    || 6.1570100955386e-03    || 1.0000000   || 4.0000000000000e-01  ||
|| 4.0000000000000e-01  || 1.2485418875502e-05    || 5.2166166857743e+01    || 6.3379458596983e-05    || 4.6421158985662e-03    || 1.9459008987711e-03    || 1.0000000   || 4.0000000000000e-01  ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| CRITERIA             || 1.0000000000000e-04    || 1.0000000000000e-09    || 1.0000000000000e-04    || 1.0000000000000e-09    ||                        ||             ||                      ||
|| IS SATISFIED         ||                 YES    ||                  NO    ||                 YES    ||                  NO    ||                        ||             ||                      ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 5.0000000000000e-01  || 1.0000000000000e+00    || 7.3388563456478e+05    || 1.9698743316331e-01    || 1.7965075697652e+01    || 3.0000000000000e-01    || 1.0000000   || 5.0000000000000e-01  ||
